  .573, 66.750,6.47,189.75,""
  .573,-45.426,6.80, 201.2,""
  .574, -6.504,6.90, 40.91,""
  .574,-52.374,5.57, 25.48,""
  .582, 13.371,6.39,109.64,""
  .586, 36.832,6.58,259.74,""
  .587, -3.593,5.20, 21.25,""
  .591, 54.203,6.95,118.34,""
  .592,  -.506,5.94, 54.49,""
  .592,-54.822,6.04, 70.77,""
  .593, 83.631,7.94,210.08,""
  .593, 67.925,6.92,943.39,""
  .594,-48.001,5.51, 34.81,""
  .596, 49.021,6.89,100000.0,""
  .598, 13.207,6.32, 37.56,""
  .600,-59.718,6.91, 56.75,""
  .600, -5.571,6.72, 45.04,""
  .600,-14.974,6.45,115.34,""
  .601,-22.843,6.06, 48.87,""
  .602, 54.168,5.08,164.47,""
  .605, 27.254,6.51,217.86,""
  .607, 60.326,5.78,100000.0,""
  .610,-65.125,6.43,211.86,""
  .610,-49.133,6.79, 43.66,""
  .612, 44.488,5.14,189.03,""
  .612, 54.957,6.77,253.16,""
  .613, 15.231,5.89,318.47,""
  .613,-76.310,6.72,165.01,""
  .614, 33.719,4.34,183.48,""
  .616, 53.896,3.69,181.81,""
  .618, 24.014,6.18,112.73,""
  .619,-85.253,8.07, 253.8,""
  .621,-54.394,6.40,146.84,""
  .622,-24.768,5.57,  15.4,""
  .622, 35.399,5.45,259.74,""
  .622,-37.289,6.99, 41.18,""
  .624, 40.332,6.85,188.67,""
  .625,  3.135,6.43,223.21,""
  .625, 85.092,7.95, 253.8,""
  .627, 21.099,6.84,158.22,""
  .629, 72.894,6.96,473.93,""
  .634,  -.504,6.64, 243.9,""
  .637, 84.674,7.11, 41.27,""
  .638,-73.963,7.43, 62.34,""
  .642,-20.297,6.73,251.88,""
  .642, 60.324,6.77,100000.0,""
  .642, 29.311,4.34, 50.22,""
  .644,-73.138,6.87,116.68,""
  .644, 46.956,6.72,112.23,""
  .646,-85.413,7.74, 37.49,""
  .646,-25.108,6.43,273.97,""
  .647, 59.826,6.72,253.16,""
  .649, 26.323,6.92,285.71,""
  .652, 49.354,5.45,641.02,""
  .653,-57.968,6.81, 78.86,""
  .654,-83.033,8.34,381.67,""
  .655, 30.861,3.27, 32.35,""
  .656, 21.250,5.88, 11.05,""
  .660,-85.701,6.81,144.09,""
  .662,-11.151,6.83, 70.02,""
  .662, 89.444,8.12,246.91,""
  .663,-80.657,7.90,184.16,""
  .663, 82.493,6.38, 33.25,""
  .664,-44.797,6.00, 94.16,""
  .665, 21.438,5.36,127.06,""
  .666,-33.962,6.68, 40.16,""
  .666, 76.871,6.73,208.33,""
  .673,-59.455,5.89, 24.95,""
  .673, 70.708,7.30,202.42,""
  .674,-16.517,6.49,146.41,""
  .675, 56.537,2.24, 69.97,"*Shedir"
  .675,-23.805,6.14, 28.88,""
  .675,-29.421,6.75, 201.2,""
  .678, -4.352,5.90, 144.5,""
  .685, 39.458,5.30,108.81,""
  .686,  9.355,6.52, 33.44,""
  .686, 52.197,6.74,140.25,""
  .688,-46.086,4.59, 75.35,""
  .692,-25.197,6.55,308.64,""
  .692, 65.868,6.95, 46.61,""
  .693, 24.629,6.06,126.74,""
  .696,-56.502,5.72, 67.02,""
  .700, 66.147,5.83,158.47,""
  .701, 50.512,4.80,438.59,""
  .704,-11.805,6.78,167.78,""
  .707,-65.469,5.38, 41.03,""
  .708, 58.753,6.18, 336.7,""
  .710, 52.337,6.94,100000.0,""
  .711, 71.365,7.22,   277.0,""
  .711,-60.263,5.99, 70.82,""
  .711,-38.464,6.05,145.13,""
  .714, -9.922,6.63, 39.61,""
  .714, 16.662,6.56,148.58,""
  .721,-45.182,6.98,157.72,""
  .722,-57.464,4.36, 75.52,""
  .724, 47.024,4.95, 53.67,""
  .726,-17.987,2.04, 29.53,"Diphda"
  .730,-12.012,6.01,  56.4,""
  .731, 33.310,6.92, 74.12,""
  .734, 70.823,6.75,147.05,""
  .736,-10.610,4.77, 71.63,""
  .736,-38.422,5.90,103.84,""
  .737,-49.386,6.86,125.15,""
  .739,-85.892,8.28, 64.97,""
